season;year;question_number;question_text;option_A;option_B;option_C;correct_answer
winter;2025;1;På hvilke klassetrin kan man gå på efterskole?;0., 1. og 2. klasse;4., 5. og 6. klasse;8., 9. og 10. klasse;C
winter;2025;2;Hvor gammel skal man mindst være for at få kørekort til almindelig bil?;17 år;19 år;21 år;A
winter;2025;3;Hvor mange borgere i Danmark mellem 15 og 64 år har et arbejde?;Cirka to ud af fem;Cirka to ud af tre;Cirka tre ud af fire;C
winter;2025;4;Hvem var Danmarks første kvindelige statsminister?;Pia Kjærsgaard;Helle Thorning-Schmidt;Mette Frederiksen;B
winter;2025;5;Skal der være en folkeafstemning, hvis den danske grundlov skal ændres?;Ja;Nej;;A
winter;2025;6;Hvor mange kommuner er der i Danmark?;19;41;98;C
winter;2025;7;Hvilken popgruppe udgav nummeret Barbie Girl i 1990’erne?;Gasolin;Me & My;Aqua;C
winter;2025;8;Hvad var Yahya Hassan (1995-2020) særligt kendt for?;Han var musiker;Han var digter;Han var fodboldspiller;B
winter;2025;9;Hvilket land er ikke med i det danske rigsfællesskab?;Island;Færøerne;Grønland;A
winter;2025;10;Hvilket af følgende lande var i union med Danmark over 400 år frem til 1814?;Sverige;Norge;Finland;B
winter;2025;11;Hvilket år blev Danmark besat af tyske tropper?;1932;1940;1944;B
winter;2025;12;Hvad var middel-levetiden for mænd i 2024?;Cirka 70 år;Cirka 75 år;Cirka 80 år;C
winter;2025;13;Hvad er moms?;En skat man betaler af sin indkomst;En afgift på blandt andet varer man køber i butikkerne;Et gebyr man betaler for at bruge DR's tv- og radiokanaler;B
winter;2025;14;Hvilken slags daginstitution går børn normalt i, når de er to år?;Vuggestue;Børnehave;;A
winter;2025;15;Hvordan blev grænsen for fri abort ændret i 2025?;Den blev sat op fra 12 til 18 uger;Den blev sat ned fra 12 til 9 uger;;A
winter;2025;16;Hvilket farvand ligger mellem Sjælland og Sverige?;Storebælt;Lillebælt;Øresund;C
winter;2025;17;Hvor meget af Danmarks areal er landbrug?;Cirka 10 procent;Cirka 35 procent;Cirka 60 procent;C
winter;2025;18;Skal man være dansk statsborger for at stemme til folketingsvalg?;Ja;Nej;;A
winter;2025;19;Hvilket parti er ældst?;Dansk Folkeparti;Det Konservative Folkeparti;;B
winter;2025;20;Kan regeringen bestemme, hvordan en dommer skal dømme i en konkret retssag?;Ja;Nej;;B
winter;2025;21;Hvor mange stemmer normalt ved valg til Folketinget?;Cirka 40-50 procent;Cirka 60-70 procent;Cirka 80-90 procent;C
winter;2025;22;Hvor blev danske soldater udsendt til i 1990’erne som en del af FN’s styrker?;Syrien;Bosnien;Libyen;B
winter;2025;23;Hvilken verdensdel modtager størstedelen af den danske udviklingsbistand?;Afrika;Asien;Sydamerika;A
winter;2025;24;Hvad hedder Danmarks kronprins?;Christian;Nikolaj;Frederik;A
winter;2025;25;På hvilken dato er det grundlovsdag?;5. april;5. maj;5. juni;C
summer;2025;1;Hvad bestemmer overenskomster på arbejdsmarkedet blandt andet?;Skatter;Arbejdstid;;B
summer;2025;2;Hvor mange ugers ferie har man normalt ret til som lønmodtager?;1-2 uger om året;3-4 uger om året;5-6 uger om året;C
summer;2025;3;Hvad skal man være medlem af en a-kasse for at kunne få?;Arbejdsløshedsdagpenge;Kontanthjælp;Førtidspension;A
summer;2025;4;Hvordan bliver de fleste udgifter til sundhedsvæsenet betalt?;Skatter og afgifter;Direkte egenbetaling;Private forsikringer;A
summer;2025;5;Fik alle mænd og kvinder over 18 år stemmeret til Folketinget med Grundloven i 1849?;Ja;Nej;;B
summer;2025;6;Hvad har der været flest folkeafstemninger om i Danmark siden 1953?;Danmarks forhold til EU;Valgretsalderen;Grundloven;A
summer;2025;7;Hvilket år blev Danmark befriet fra den tyske besættelse?;1940;1943;1945;C
summer;2025;8;Hvornår blev Danmark medlem af NATO?;1949;1969;1989;A
summer;2025;9;Hvad producerer virksomheden Novo Nordisk primært?;Vindmøller;Legetøj;Medicin;C
summer;2025;10;Hvordan har antallet af landmænd i Danmark udviklet sig siden 1960?;Antallet er steget;Antallet er faldet;;B
summer;2025;11;Betyder en betinget fængselsstraf, at man skal direkte i fængsel?;Ja;Nej;;B
summer;2025;12;Hvortil kan man normalt anke (appellere) en afgørelse fra byretten?;Landsretten;Højesteret;;A
summer;2025;13;Fra hvilket land kom der særligt mange indvandrere til Danmark i slutningen af 1960’erne?;Syrien;Tyrkiet;Rumænien;B
summer;2025;14;Hvilken daginstitution går børn normalt i, når de er fire år?;Vuggestue;Børnehave;;B
summer;2025;15;Hvad er Grenen, som ligger ved byen Skagen?;Danmarks sydligste punkt;Danmarks østligste punkt;Danmarks nordligste punkt;C
summer;2025;16;Hvad hedder farvandet mellem Sjælland og Fyn?;Storebælt;Lillebælt;Øresund;A
summer;2025;17;Hvilken af følgende byer har flest indbyggere?;Esbjerg;Randers;Aalborg;C
summer;2025;18;Er Det Konservative Folkeparti med i den nuværende regering?;Ja;Nej;;B
summer;2025;19;Hvilket parti fik flest stemmer ved folketingsvalget i 2022?;Socialdemokratiet;Dansk Folkeparti;Venstre;A
summer;2025;20;Hvem er Danmarks konge?;Frederik 4.;Frederik 7.;Frederik 10.;C
summer;2025;21;Hvad er besluttet omkring værnepligten i 2024?;At der skal indkaldes flere værnepligtige;At der skal indkaldes samme antal værnepligtige;At der skal indkaldes færre værnepligtige;A
summer;2025;22;Hvilket politisk parti blev dannet omkring 1870?;Dansk Folkeparti;Socialistisk Folkeparti;Venstre;C
summer;2025;23;Hvad er Søren Kierkegaard (1813-55) særligt kendt for?;Han var kunstmaler;Han var filosof;Han var fysiker;B
summer;2025;24;Hvem har skrevet fortællingen Den Grimme Ælling?;H.C. Andersen;Karen Blixen;Ludvig Holberg;A
summer;2025;25;I hvilken måned fejres sankthans?;I maj;I juni;I juli;B
winter;2024;1;Hvem vælger en tillidsrepræsentant på en arbejdsplads?;Medarbejderne og arbejdsgiveren i fællesskab;Arbejdsgiveren;Medarbejderne;C
winter;2024;2;Hvilken rettighed er beskyttet af grundloven?;Retten til at eje våben;Retten til at have et arbejde;Retten til selv at vælge religion;C
winter;2024;3;Hvor gammel skal man være for at blive gift i Danmark?;Mindst 16 år;Mindst 18 år;Mindst 20 år;B
winter;2024;4;Må man danne en forening, hvis man ikke er dansk statsborger?;Ja;Nej;;A
winter;2024;5;Hvad var rødstrømpe-bevægelsen en del af?;Arbejderbevægelsen i 1930'erne;Kvindebevægelsen i 1970'erne;Miljøbevægelsen i 1990'erne;B
winter;2024;6;Under hvilken krig var Danmark besat af tyske tropper?;1. Verdenskrig;2. Verdenskrig;;B
winter;2024;7;Hvem fik Danmark økonomisk hjælp af i tiden omkring 1950 med Marshall-planen?;Storbritannien;Canada;USA;C
winter;2024;8;Hvilket af følgende partier har været med i regeringen siden 2022?;Dansk Folkeparti;Venstre;Det Konservative Folkeparti;B
winter;2024;9;Hvor mange medlemmer af Folketinget er valgt på Færøerne?;To;Fem;Otte;A
winter;2024;10;På hvilken ø ligger Danmarks sydligste punkt?;Læsø;Fyn;Falster;C
winter;2024;11;Hvilken af følgende byer har flest indbyggere?;Odense;Aalborg;Aarhus;C
winter;2024;12;Hvad er Susanne Bier og Thomas Vinterberg særlig kendte for?;De er filminstruktører;De er kunstmalere;De er forfattere;A
winter;2024;13;Hvem fik især betydning for højskolerne i 1800-tallet?;N.F.S. Grundtvig;Søren Kierkegaard;P.S. Krøyer;A
winter;2024;14;Hvilket landområde mistede Danmark i 1658?;Shetlands-øerne;Slesvig;Skåne;C
winter;2024;15;Hvornår blev Reformationen og dermed den protestantiske kristendom indført i Danmark?;900-tallet;1200-tallet;1500-tallet;C
winter;2024;16;Er et flertal af Danmarks befolkning medlem af Folkekirken?;Ja;Nej;;A
winter;2024;17;Hvornår er grundloven sidst blevet ændret?;1866;1915;1953;C
winter;2024;18;Er det normalt gratis at gå til tandlægen, når man er under 20 år?;Ja;Nej;;A
winter;2024;19;Hvem laver lovene i Danmark?;Folketinget og domstolene;Regeringen og Folketinget;;B
winter;2024;20;Må andre se, hvad man stemmer til folketingsvalg?;Ja;Nej;;B
winter;2024;21;Hvad er moms?;En skat man betaler af sin indkomst;En afgift på blandt andet varer man køber i butikkerne;Et gebyr man betaler for at kunne se DR's tv- og radiokanaler;B
winter;2024;22;Hvor mange års undervisning skal børn i Danmark normalt have?;Mindst 10 år;Mindst 12 år;Mindst 14 år;A
winter;2024;23;Skal forældre normalt betale for, at deres børn går i en friskole eller privatskole?;Ja;Nej;;A
winter;2024;24;Hvilket land sendte Danmark soldater til i 2003 efter en invasion, der var ledet af USA?;Syrien;Irak;Libyen;B
winter;2024;25;Hvor tit er der valg til kommunalbestyrelser og regionsråd?;Hvert tredje år;Hvert fjerde år;Hvert femte år;B
summer;2024;1;Hvem er ikke med i det danske rigsfællesskab?;Island;Færøerne;Grønland;A
summer;2024;2;Hvem var Danmarks første kvindelige statsminister?;Margrethe Vestager;Mette Frederiksen;Helle Thorning-Schmidt;C
summer;2024;3;Hvilken rettighed er beskyttet af grundloven?;Retten til at bære våben;Retten til at have et arbejde;Retten til selv at vælge religion;C
summer;2024;4;Hvem står for driften af de offentlige sygehuse?;Kommunerne;Regionerne;Staten;B
